Copper Capacitance (F),Graphene Capacitance (F),Final Capacitance (F)
3.8e-11,1.2036287429735093e-11,9.14094441903231e-12
3.8e-11,1.2046889681581081e-11,9.147058105162526e-12
3.8e-11,1.205749193342707e-11,9.153169201516966e-12
3.8e-11,1.2068094185273062e-11,9.159277709740837e-12
3.8e-11,1.2078696437119052e-11,9.165383631477948e-12
3.8e-11,1.2089298688965043e-11,9.171486968370725e-12
3.8e-11,1.2099900940811031e-11,9.177587722060192e-12
3.9e-11,1.211050319265702e-11,9.2409503920024e-12
3.9e-11,1.212110544450301e-11,9.247122264380703e-12
3.9e-11,1.2131707696349002e-11,9.253291577261263e-12
3.9e-11,1.2142309948194992e-11,9.259458332235892e-12
3.9e-11,1.2152912200040978e-11,9.265622530895093e-12
3.9e-11,1.2163514451886971e-11,9.27178417482805e-12
3.9e-11,1.2174116703732956e-11,9.277943265622622e-12
3.9e-11,1.2184718955578948e-11,9.284099804865364e-12
3.9e-11,1.2195321207424937e-11,9.290253794141505e-12
3.9e-11,1.2205923459270925e-11,9.296405235034969e-12
3.9e-11,1.2216525711116918e-11,9.302554129128366e-12
3.9e-11,1.2227127962962908e-11,9.308700478002995e-12
3.9e-11,1.22377302148089e-11,9.314844283238849e-12
3.9e-11,1.224833246665489e-11,9.320985546414608e-12
3.9e-11,1.2258934718500876e-11,9.327124269107648e-12
3.9e-11,1.2269536970346865e-11,9.33326045289405e-12
3.9e-11,1.228013922219286e-11,9.339394099348577e-12
3.9e-11,1.2290741474038848e-11,9.345525210044695e-12
3.9e-11,1.2301343725884834e-11,9.351653786554574e-12
3.9e-11,1.2311945977730824e-11,9.357779830449077e-12
3.9e-11,1.2322548229576812e-11,9.363903343297777e-12
3.9e-11,1.2333150481422805e-11,9.370024326668946e-12
3.9e-11,1.2343752733268793e-11,9.376142782129558e-12
3.9e-11,1.2354354985114786e-11,9.3822587112453e-12
3.9e-11,1.2364957236960776e-11,9.388372115580557e-12
3.9e-11,1.2375559488806764e-11,9.39448299669843e-12
3.9e-11,1.2386161740652752e-11,9.400591356160728e-12
3.9e-11,1.2396763992498743e-11,9.406697195527974e-12
3.9e-11,1.2407366244344731e-11,9.412800516359394e-12
3.9e-11,1.241796849619072e-11,9.418901320212939e-12
3.9e-11,1.2428570748036714e-11,9.424999608645275e-12
3.9e-11,1.2439172999882702e-11,9.431095383211772e-12
3.9e-11,1.2449775251728692e-11,9.437188645466533e-12
3.9e-11,1.2460377503574683e-11,9.44327939696237e-12
3.9e-11,1.2470979755420668e-11,9.449367639250819e-12
3.9e-11,1.2481582007266664e-11,9.455453373882147e-12
3.9e-11,1.2492184259112649e-11,9.461536602405319e-12
3.9e-11,1.2502786510958637e-11,9.467617326368054e-12
3.9e-11,1.2513388762804632e-11,9.473695547316784e-12
3.9e-11,1.252399101465062e-11,9.47977126679666e-12
3.9e-11,1.2534593266496614e-11,9.485844486351576e-12
3.9e-11,1.25451955183426e-11,9.491915207524141e-12
3.9e-11,1.2555797770188587e-11,9.497983431855713e-12
3.9e-11,1.2566400022034582e-11,9.504049160886371e-12
3.9e-11,1.257700227388057e-11,9.510112396154924e-12
3.9e-11,1.2587604525726558e-11,9.516173139198922e-12
3.9e-11,1.2598206777572551e-11,9.522231391554656e-12
3.9e-11,1.2608809029418536e-11,9.52828715475714e-12
3.9e-11,1.2619411281264532e-11,9.534340430340148e-12
4e-11,1.263001353311052e-11,9.59909578983083e-12
4e-11,1.2640615784956505e-11,9.605218781326571e-12
4e-11,1.26512180368025e-11,9.611339306877548e-12
4e-11,1.2661820288648486e-11,9.617457367973133e-12
4e-11,1.2672422540494476e-11,9.62357296610152e-12
4e-11,1.268302479234047e-11,9.629686102749698e-12
4e-11,1.2693627044186455e-11,9.635796779403447e-12
4e-11,1.2704229296032448e-11,9.641904997547374e-12
4e-11,1.2714831547878433e-11,9.648010758664868e-12
4e-11,1.2725433799724421e-11,9.654114064238145e-12
4e-11,1.2736036051570416e-11,9.660214915748225e-12
4e-11,1.2746638303416404e-11,9.666313314674921e-12
4e-11,1.275724055526239e-11,9.672409262496874e-12
4e-11,1.2767842807108383e-11,9.678502760691533e-12
4e-11,1.2778445058954371e-11,9.684593810735155e-12
4e-11,1.2789047310800368e-11,9.690682414102816e-12
4e-11,1.2799649562646354e-11,9.6967685722684e-12
4e-11,1.2810251814492342e-11,9.702852286704617e-12
4e-11,1.2820854066338335e-11,9.708933558882992e-12
4e-11,1.2831456318184323e-11,9.71501239027386e-12
4e-11,1.2842058570030311e-11,9.721088782346387e-12
4e-11,1.2852660821876303e-11,9.727162736568558e-12
4e-11,1.2863263073722289e-11,9.733234254407172e-12
4e-11,1.2873865325568277e-11,9.739303337327863e-12
4e-11,1.2884467577414272e-11,9.745369986795086e-12
4e-11,1.289506982926026e-11,9.751434204272114e-12
4e-11,1.2905672081106254e-11,9.757495991221059e-12
4e-11,1.2916274332952243e-11,9.76355534910285e-12
4e-11,1.2926876584798227e-11,9.769612279377253e-12
4e-11,1.293747883664422e-11,9.775666783502865e-12
4e-11,1.294808108849021e-11,9.78171886293711e-12
4e-11,1.2958683340336198e-11,9.787768519136249e-12
4e-11,1.2969285592182191e-11,9.793815753555374e-12
4e-11,1.2979887844028179e-11,9.799860567648412e-12
4e-11,1.299049009587417e-11,9.80590296286813e-12
4e-11,1.300109234772016e-11,9.81194294066613e-12
4e-11,1.3011694599566148e-11,9.81798050249285e-12
4e-11,1.302229685141214e-11,9.824015649797576e-12
4e-11,1.3032899103258128e-11,9.830048384028426e-12
4e-11,1.3043501355104114e-11,9.836078706632365e-12
4e-11,1.305410360695011e-11,9.842106619055207e-12
4e-11,1.3064705858796098e-11,9.848132122741595e-12
4e-11,1.3075308110642091e-11,9.854155219135032e-12
4e-11,1.3085910362488076e-11,9.860175909677857e-12
3.9e-11,1.3096512614334066e-11,9.804187772417126e-12
3.9e-11,1.3107114866180062e-11,9.81012825395943e-12
3.9e-11,1.3117717118026047e-11,9.816066318570024e-12
3.9e-11,1.3128319369872035e-11,9.822001967723639e-12
3.9e-11,1.3138921621718026e-11,9.827935202893796e-12
3.9e-11,1.3149523873564015e-11,9.833866025552815e-12
3.9e-11,1.3160126125410009e-11,9.839794437171829e-12
3.9e-11,1.3170728377255997e-11,9.84572043922076e-12
3.9e-11,1.3181330629101984e-11,9.851644033168349e-12
3.9e-11,1.3191932880947975e-11,9.857565220482141e-12
3.9e-11,1.320253513279396e-11,9.863484002628481e-12
3.9e-11,1.3213137384639951e-11,9.869400381072534e-12
3.9e-11,1.3223739636485944e-11,9.875314357278269e-12
3.9e-11,1.3234341888331932e-11,9.881225932708462e-12
3.9e-11,1.3244944140177924e-11,9.887135108824712e-12
3.9e-11,1.3255546392023912e-11,9.893041887087424e-12
3.9e-11,1.32661486438699e-11,9.898946268955818e-12
3.9e-11,1.3276750895715894e-11,9.904848255887941e-12
3.9e-11,1.3287353147561882e-11,9.91074784934064e-12
3.9e-11,1.3297955399407867e-11,9.916645050769592e-12
3.9e-11,1.3308557651253863e-11,9.922539861629299e-12
3.9e-11,1.3319159903099848e-11,9.928432283373065e-12
3.9e-11,1.3329762154945838e-11,9.934322317453035e-12
4e-11,1.3340364406791833e-11,1.0003954457493884e-11
4e-11,1.3350966658637819e-11,1.0009915467183928e-11
4e-11,1.3361568910483812e-11,1.0015874108123307e-11
4e-11,1.3372171162329799e-11,1.0021830381723656e-11
4e-11,1.3382773414175788e-11,1.0027784289395496e-11
4e-11,1.339337566602178e-11,1.0033735832548225e-11
4e-11,1.3403977917867768e-11,1.003968501259012e-11
4e-11,1.3414580169713756e-11,1.0045631830928342e-11
4e-11,1.342518242155975e-11,1.0051576288968936e-11
4e-11,1.3435784673405738e-11,1.0057518388116828e-11
4e-11,1.3446386925251728e-11,1.006345812977583e-11
4e-11,1.345698917709772e-11,1.0069395515348645e-11
4e-11,1.3467591428943704e-11,1.0075330546236852e-11
4e-11,1.3478193680789697e-11,1.0081263223840936e-11
4e-11,1.3488795932635685e-11,1.0087193549560255e-11
4e-11,1.3499398184481675e-11,1.0093121524793065e-11
4e-11,1.3510000436327668e-11,1.0099047150936517e-11
4e-11,1.3520602688173654e-11,1.0104970429386646e-11
4e-11,1.3531204940019647e-11,1.0110891361538391e-11
4e-11,1.3541807191865636e-11,1.0116809948785576e-11
4e-11,1.3552409443711625e-11,1.0122726192520933e-11
4e-11,1.3563011695557618e-11,1.0128640094136081e-11
4e-11,1.3573613947403606e-11,1.0134551655021541e-11
4e-11,1.3584216199249591e-11,1.0140460876566729e-11
4e-11,1.3594818451095582e-11,1.0146367760159977e-11
4e-11,1.3605420702941572e-11,1.01522723071885e-11
4e-11,1.3616022954787565e-11,1.0158174519038431e-11
4e-11,1.3626625206633552e-11,1.0164074397094787e-11
4e-11,1.363722745847954e-11,1.0169971942741513e-11
4e-11,1.3647829710325531e-11,1.0175867157361448e-11
4e-11,1.3658431962171522e-11,1.0181760042336335e-11
4e-11,1.366903421401751e-11,1.0187650599046833e-11
4e-11,1.36796364658635e-11,1.0193538828872505e-11
4e-11,1.3690238717709488e-11,1.0199424733191826e-11
4e-11,1.370084096955548e-11,1.0205308313382185e-11
4e-11,1.3711443221401474e-11,1.0211189570819882e-11
4e-11,1.3722045473247459e-11,1.021706850688012e-11
4e-11,1.3732647725093452e-11,1.0222945122937038e-11
4e-11,1.3743249976939438e-11,1.022881942036367e-11
4e-11,1.3753852228785427e-11,1.0234691400531981e-11
4e-11,1.3764454480631421e-11,1.0240561064812849e-11
4e-11,1.3775056732477408e-11,1.0246428414576063e-11
4e-11,1.3785658984323396e-11,1.0252293451190345e-11
4e-11,1.379626123616939e-11,1.0258156176023332e-11
4e-11,1.3806863488015378e-11,1.026401659044158e-11
4e-11,1.3817465739861371e-11,1.0269874695810575e-11
4e-11,1.382806799170736e-11,1.0275730493494719e-11
4e-11,1.3838670243553344e-11,1.0281583984857345e-11
4e-11,1.3849272495399337e-11,1.0287435171260718e-11
4e-11,1.3859874747245325e-11,1.0293284054066013e-11
4e-11,1.3870476999091317e-11,1.0299130634633351e-11
4e-11,1.3881079250937308e-11,1.0304974914321773e-11
4e-11,1.3891681502783296e-11,1.031081689448925e-11
4e-11,1.390228375462929e-11,1.0316656576492695e-11
4e-11,1.3912886006475275e-11,1.0322493961687934e-11
4e-11,1.3923488258321264e-11,1.032832905142975e-11
4e-11,1.3934090510167258e-11,1.0334161847071848e-11
4e-11,1.3944692762013246e-11,1.0339992349966865e-11
4e-11,1.3955295013859234e-11,1.0345820561466382e-11
4e-11,1.3965897265705224e-11,1.0351646482920917e-11
4e-11,1.3976499517551212e-11,1.0357470115679923e-11
4e-11,1.3987101769397203e-11,1.0363291461091803e-11
4e-11,1.3997704021243193e-11,1.0369110520503886e-11
4e-11,1.400830627308918e-11,1.037492729526245e-11
4e-11,1.4018908524935174e-11,1.0380741786712727e-11
4e-11,1.4029510776781164e-11,1.0386553996198874e-11
4e-11,1.4040113028627152e-11,1.0392363925064002e-11
4e-11,1.4050715280473147e-11,1.0398171574650178e-11
4e-11,1.4061317532319131e-11,1.040397694629839e-11
4e-11,1.4071919784165126e-11,1.0409780041348607e-11
4e-11,1.4082522036011116e-11,1.0415580861139722e-11
4e-11,1.4093124287857102e-11,1.0421379407009586e-11
4e-11,1.4103726539703092e-11,1.0427175680295008e-11
4e-11,1.411432879154908e-11,1.043296968233174e-11
4e-11,1.4124931043395066e-11,1.0438761414454494e-11
4e-11,1.413553329524106e-11,1.0444550877996936e-11
4e-11,1.4146135547087049e-11,1.045033807429168e-11
3.9e-11,1.4156737798933036e-11,1.038650596367993e-11
3.9e-11,1.416734005077903e-11,1.0392211862633636e-11
3.9e-11,1.4177942302625018e-11,1.0397915486381673e-11
3.9e-11,1.4188544554471011e-11,1.0403616836284625e-11
3.9e-11,1.4199146806317e-11,1.0409315913701973e-11
3.9e-11,1.4209749058162987e-11,1.0415012719992125e-11
4e-11,1.4220351310008977e-11,1.049078507714053e-11
4e-11,1.4230953561854965e-11,1.0496554183302985e-11
4e-11,1.4241555813700953e-11,1.050232103416448e-11
4e-11,1.4252158065546948e-11,1.0508085631047248e-11
4e-11,1.4262760317392934e-11,1.0513847975272475e-11
4e-11,1.4273362569238927e-11,1.0519608068160336e-11
4e-11,1.4283964821084912e-11,1.0525365911029956e-11
4e-11,1.4294567072930903e-11,1.0531121505199442e-11
4e-11,1.43051693247769e-11,1.0536874851985866e-11
4e-11,1.4315771576622886e-11,1.0542625952705265e-11
4e-11,1.4326373828468874e-11,1.0548374808672665e-11
4e-11,1.4336976080314867e-11,1.0554121421202054e-11
4e-11,1.4347578332160855e-11,1.0559865791606392e-11
4e-11,1.4358180584006848e-11,1.0565607921197629e-11
4e-11,1.4368782835852833e-11,1.0571347811286674e-11
4e-11,1.4379385087698826e-11,1.057708546318343e-11
4e-11,1.4389987339544816e-11,1.0582820878196765e-11
4e-11,1.4400589591390804e-11,1.0588554057634534e-11
4e-11,1.4411191843236792e-11,1.0594285002803574e-11
4e-11,1.4421794095082787e-11,1.06000137150097e-11
4e-11,1.4432396346928775e-11,1.0605740195557707e-11
4e-11,1.4442998598774764e-11,1.0611464445751379e-11
4e-11,1.4453600850620754e-11,1.0617186466893483e-11
4e-11,1.4464203102466744e-11,1.0622906260285773e-11
4e-11,1.4474805354312738e-11,1.0628623827228986e-11
4e-11,1.4485407606158726e-11,1.0634339169022847e-11
4e-11,1.4496009858004708e-11,1.0640052286966068e-11
4e-11,1.45066121098507e-11,1.064576318235636e-11
4e-11,1.4517214361696687e-11,1.065147185649042e-11
4e-11,1.4527816613542685e-11,1.065717831066393e-11
4e-11,1.4538418865388672e-11,1.0662882546171566e-11
4e-11,1.454902111723466e-11,1.0668584564307002e-11
4e-11,1.4559623369080653e-11,1.0674284366362909e-11
4e-11,1.457022562092664e-11,1.0679981953630945e-11
4e-11,1.458082787277263e-11,1.0685677327401771e-11
4e-11,1.459143012461862e-11,1.0691370488965046e-11
4e-11,1.460203237646461e-11,1.0697061439609414e-11
4e-11,1.4612634628310596e-11,1.0702750180622538e-11
4e-11,1.4623236880156585e-11,1.0708436713291069e-11
4e-11,1.463383913200258e-11,1.0714121038900663e-11
4e-11,1.464444138384857e-11,1.0719803158735975e-11
4e-11,1.465504363569456e-11,1.0725483074080667e-11
4e-11,1.4665645887540543e-11,1.0731160786217403e-11
4e-11,1.4676248139386535e-11,1.0736836296427857e-11
4e-11,1.468685039123253e-11,1.0742509605992702e-11
4e-11,1.4697452643078514e-11,1.0748180716191615e-11
4e-11,1.470805489492451e-11,1.0753849628303299e-11
4e-11,1.471865714677049e-11,1.0759516343605437e-11
4e-11,1.4729259398616488e-11,1.0765180863374761e-11
4.1e-11,1.473986165046248e-11,1.0842049294249502e-11
4.1e-11,1.4750463902308464e-11,1.0847784532419026e-11
4.1e-11,1.476106615415446e-11,1.0853517589624538e-11
4.1e-11,1.4771668406000447e-11,1.0859248467109833e-11
4.1e-11,1.4782270657846435e-11,1.086497716611779e-11
4.1e-11,1.4792872909692426e-11,1.0870703687890321e-11
4.1e-11,1.4803475161538415e-11,1.0876428033668404e-11
4.1e-11,1.4814077413384403e-11,1.0882150204692076e-11
4.1e-11,1.4824679665230397e-11,1.0887870202200429e-11
4.1e-11,1.4835281917076382e-11,1.0893588027431606e-11
4.1e-11,1.4845884168922377e-11,1.0899303681622824e-11
4.1e-11,1.4856486420768365e-11,1.0905017166010348e-11
4.1e-11,1.4867088672614353e-11,1.0910728481829512e-11
4.1e-11,1.4877690924460344e-11,1.0916437630314718e-11
4.1e-11,1.4888293176306332e-11,1.0922144612699413e-11
4.1e-11,1.4898895428152327e-11,1.092784943021613e-11
4.1e-11,1.4909497679998312e-11,1.0933552084096443e-11
4.1e-11,1.49200999318443e-11,1.0939252575571015e-11
4.1e-11,1.4930702183690294e-11,1.0944950905869567e-11
4.1e-11,1.4941304435536282e-11,1.0950647076220883e-11
4.1e-11,1.495190668738227e-11,1.0956341087852815e-11
4.1e-11,1.4962508939228265e-11,1.0962032941992301e-11
4.1e-11,1.4973111191074253e-11,1.0967722639865327e-11
4.1e-11,1.4983713442920244e-11,1.0973410182696966e-11
4.1e-11,1.4994315694766233e-11,1.0979095571711354e-11
4.1e-11,1.5004917946612214e-11,1.0984778808131704e-11
4.1e-11,1.5015520198458212e-11,1.0990459893180312e-11
4.1e-11,1.50261224503042e-11,1.0996138828078528e-11
4.1e-11,1.5036724702150188e-11,1.1001815614046795e-11
4.1e-11,1.5047326953996176e-11,1.1007490252304625e-11
4.1e-11,1.5057929205842164e-11,1.101316274407061e-11
4.1e-11,1.5068531457688156e-11,1.1018833090562421e-11
4.1e-11,1.5079133709534147e-11,1.1024501292996806e-11
4.1e-11,1.5089735961380132e-11,1.103016735258959e-11
4.1e-11,1.5100338213226126e-11,1.103583127055569e-11
4.1e-11,1.511094046507211e-11,1.1041493048109087e-11
4.1e-11,1.5121542716918103e-11,1.1047152686462864e-11
4.1e-11,1.51321449687641e-11,1.1052810186829178e-11
4.1e-11,1.5142747220610085e-11,1.1058465550419264e-11
4.1e-11,1.515334947245607e-11,1.106411877844345e-11
4.1e-11,1.5163951724302065e-11,1.106976987211116e-11
4.1e-11,1.5174553976148056e-11,1.1075418832630885e-11
4.1e-11,1.5185156227994047e-11,1.1081065661210212e-11
4.1e-11,1.5195758479840032e-11,1.108671035905582e-11
4.1e-11,1.520636073168602e-11,1.1092352927373473e-11
4e-11,1.5216962983532015e-11,1.1023397275993135e-11
4e-11,1.5227565235378006e-11,1.1028960027825699e-11
4e-11,1.523816748722399e-11,1.1034520644261719e-11
4e-11,1.5248769739069982e-11,1.1040079126530552e-11
4e-11,1.525937199091597e-11,1.1045635475860596e-11
4e-11,1.5269974242761965e-11,1.1051189693479322e-11
4e-11,1.5280576494607953e-11,1.1056741780613243e-11
4e-11,1.529117874645394e-11,1.1062291738487945e-11
4e-11,1.5301780998299933e-11,1.1067839568328069e-11
4e-11,1.531238325014592e-11,1.1073385271357314e-11
4e-11,1.532298550199191e-11,1.1078928848798447e-11
4e-11,1.5333587753837903e-11,1.1084470301873297e-11
4e-11,1.534419000568389e-11,1.1090009631802745e-11
4e-11,1.5354792257529886e-11,1.109554683980676e-11
4e-11,1.536539450937587e-11,1.1101081927104348e-11
4e-11,1.537599676122186e-11,1.1106614894913608e-11
4e-11,1.538659901306785e-11,1.1112145744451688e-11
4e-11,1.539720126491384e-11,1.1117674476934813e-11
4e-11,1.5407803516759827e-11,1.1123201093578275e-11
4e-11,1.541840576860582e-11,1.1128725595596437e-11
4e-11,1.5429008020451803e-11,1.1134247984202724e-11
4e-11,1.54396102722978e-11,1.1139768260609656e-11
4.1e-11,1.545021252414379e-11,1.1221547008684239e-11
4.1e-11,1.5460814775989777e-11,1.1227138827708646e-11
4.1e-11,1.5471417027835768e-11,1.1232728547055847e-11
4.1e-11,1.5482019279681756e-11,1.1238316167908231e-11
4.1e-11,1.5492621531527744e-11,1.124390169144731e-11
4.1e-11,1.550322378337374e-11,1.1249485118853698e-11
4.1e-11,1.5513826035219727e-11,1.1255066451307127e-11
4.1e-11,1.5524428287065712e-11,1.1260645689986442e-11
4.1e-11,1.5535030538911706e-11,1.1266222836069612e-11
4.1e-11,1.554563279075769e-11,1.1271797890733707e-11
4.1e-11,1.5556235042603692e-11,1.127737085515494e-11
4.1e-11,1.556683729444968e-11,1.1282941730508607e-11
4.1e-11,1.5577439546295665e-11,1.1288510517969148e-11
4.1e-11,1.5588041798141656e-11,1.1294077218710123e-11
4.1e-11,1.5598644049987645e-11,1.12996418339042e-11
4.1e-11,1.5609246301833636e-11,1.1305204364723178e-11
4.1e-11,1.5619848553679624e-11,1.1310764812337972e-11
4.1e-11,1.5630450805525612e-11,1.1316323177918627e-11
4.1e-11,1.5641053057371603e-11,1.1321879462634307e-11
4.1e-11,1.5651655309217595e-11,1.1327433667653304e-11
4.1e-11,1.5662257561063583e-11,1.1332985794143026e-11
4.1e-11,1.5672859812909574e-11,1.1338535843270024e-11
4.1e-11,1.5683462064755562e-11,1.134408381619996e-11
4.1e-11,1.569406431660155e-11,1.1349629714097637e-11
4.1e-11,1.5704666568447545e-11,1.1355173538126983e-11
4.1e-11,1.5715268820293533e-11,1.1360715289451046e-11
4.1e-11,1.5725871072139524e-11,1.1366254969232015e-11
4.1e-11,1.5736473323985512e-11,1.1371792578631208e-11
4.1e-11,1.57470755758315e-11,1.1377328118809075e-11
4.1e-11,1.5757677827677492e-11,1.1382861590925205e-11
4.1e-11,1.5768280079523483e-11,1.1388392996138304e-11
4.1e-11,1.577888233136947e-11,1.1393922335606227e-11
4.1e-11,1.5789484583215463e-11,1.139944961048596e-11
4.1e-11,1.580008683506145e-11,1.1404974821933626e-11
4.1e-11,1.5810689086907442e-11,1.1410497971104485e-11
4.1e-11,1.5821291338753433e-11,1.1416019059152933e-11
4.1e-11,1.5831893590599418e-11,1.1421538087232505e-11
4.1e-11,1.5842495842445413e-11,1.142705505649588e-11
4.1e-11,1.58530980942914e-11,1.1432569968094867e-11
4.1e-11,1.586370034613739e-11,1.1438082823180426e-11
4.1e-11,1.587430259798338e-11,1.1443593622902657e-11
4.1e-11,1.588490484982937e-11,1.1449102368410793e-11
4.1e-11,1.5895507101675357e-11,1.1454609060853225e-11
4.1e-11,1.5906109353521348e-11,1.146011370137748e-11
4.1e-11,1.5916711605367336e-11,1.1465616291130229e-11
4.1e-11,1.592731385721333e-11,1.1471116831257294e-11
4.1e-11,1.593791610905932e-11,1.1476615322903639e-11
4.1e-11,1.5948518360905303e-11,1.1482111767213371e-11
4.1e-11,1.5959120612751298e-11,1.148760616532976e-11
4.1e-11,1.5969722864597283e-11,1.1493098518395208e-11
4.1e-11,1.598032511644327e-11,1.1498588827551278e-11
4.1e-11,1.599092736828927e-11,1.1504077093938687e-11
4.1e-11,1.600152962013525e-11,1.150956331869728e-11
4.1e-11,1.6012131871981248e-11,1.1515047502966092e-11
4.1e-11,1.6022734123827233e-11,1.1520529647883267e-11
4.1e-11,1.603333637567322e-11,1.152600975458614e-11
4.1e-11,1.6043938627519216e-11,1.1531487824211181e-11
4.1e-11,1.6054540879365204e-11,1.1536963857894022e-11
4.1e-11,1.6065143131211192e-11,1.1542437856769444e-11
4.1e-11,1.6075745383057183e-11,1.1547909821971394e-11
4.1e-11,1.608634763490317e-11,1.1553379754632968e-11
4.1e-11,1.6096949886749163e-11,1.1558847655886431e-11
4.1e-11,1.610755213859515e-11,1.1564313526863198e-11
4.1e-11,1.611815439044114e-11,1.1569777368693842e-11
4.1e-11,1.612875664228713e-11,1.1575239182508108e-11
4.1e-11,1.6139358894133118e-11,1.1580698969434893e-11
4.1e-11,1.6149961145979106e-11,1.158615673060226e-11
4.1e-11,1.6160563397825104e-11,1.1591612467137437e-11
4.1e-11,1.6171165649671092e-11,1.1597066180166804e-11
4.1e-11,1.6181767901517084e-11,1.1602517870815926e-11
4.1e-11,1.619237015336307e-11,1.1607967540209512e-11
4.1e-11,1.620297240520906e-11,1.1613415189471454e-11
4.1e-11,1.621357465705505e-11,1.1618860819724806e-11
4.1e-11,1.622417690890104e-11,1.1624304432091781e-11
4.1e-11,1.6234779160747027e-11,1.1629746027693773e-11
4.1e-11,1.624538141259302e-11,1.1635185607651338e-11
4.1e-11,1.6255983664439007e-11,1.1640623173084203e-11
4.1e-11,1.6266585916285e-11,1.1646058725111269e-11
4e-11,1.6277188168130986e-11,1.1569297399509052e-11
4e-11,1.6287790419976974e-11,1.1574652547879237e-11
4e-11,1.629839267182297e-11,1.1580005679259986e-11
4e-11,1.6308994923668957e-11,1.1585356794790614e-11
4e-11,1.6319597175514945e-11,1.1590705895609581e-11
4e-11,1.6330199427360936e-11,1.1596052982854496e-11
4.1e-11,1.6340801679206924e-11,1.1684051307751968e-11
4.1e-11,1.6351403931052913e-11,1.1689470792713712e-11
4.1e-11,1.6362006182898904e-11,1.1694888274302555e-11
4.1e-11,1.6372608434744892e-11,1.170030375362914e-11
4.1e-11,1.6383210686590887e-11,1.1705717231803302e-11
4.1e-11,1.639381293843687e-11,1.1711128709934038e-11
4.1e-11,1.640441519028286e-11,1.1716538189129544e-11
4.1e-11,1.641501744212885e-11,1.172194567049719e-11
4.1e-11,1.6425619693974845e-11,1.1727351155143524e-11
4.1e-11,1.643622194582083e-11,1.173275464417428e-11
4.1e-11,1.6446824197666825e-11,1.1738156138694383e-11
4.1e-11,1.6457426449512813e-11,1.1743555639807925e-11
4.1e-11,1.6468028701358804e-11,1.1748953148618206e-11
4.1e-11,1.6478630953204792e-11,1.1754348666227692e-11
4.1e-11,1.648923320505078e-11,1.1759742193738047e-11
4.1e-11,1.6499835456896772e-11,1.176513373225012e-11
4.1e-11,1.651043770874276e-11,1.1770523282863944e-11
4.1e-11,1.6521039960588748e-11,1.1775910846678746e-11
4.1e-11,1.6531642212434742e-11,1.1781296424792948e-11
4.1e-11,1.654224446428073e-11,1.1786680018304143e-11
4.1e-11,1.6552846716126725e-11,1.179206162830914e-11
4.1e-11,1.656344896797271e-11,1.179744125590392e-11
4.1e-11,1.65740512198187e-11,1.1802818902183666e-11
4.1e-11,1.6584653471664696e-11,1.1808194568242758e-11
4.1e-11,1.6595255723510684e-11,1.1813568255174757e-11
4.1e-11,1.6605857975356672e-11,1.1818939964072432e-11
4.1e-11,1.6616460227202663e-11,1.182430969602774e-11
4.1e-11,1.662706247904865e-11,1.182967745213184e-11
4.1e-11,1.6637664730894643e-11,1.183504323347509e-11
4.1e-11,1.664826698274063e-11,1.1840407041147026e-11
4.1e-11,1.6658869234586616e-11,1.1845768876236411e-11
4.1e-11,1.666947148643261e-11,1.1851128739831191e-11
4.1e-11,1.66800737382786e-11,1.1856486633018515e-11
4.1e-11,1.6690675990124587e-11,1.1861842556884731e-11
4.1e-11,1.670127824197058e-11,1.1867196512515397e-11
4.1e-11,1.6711880493816563e-11,1.1872548500995254e-11
4.1e-11,1.672248274566256e-11,1.1877898523408275e-11
4.1e-11,1.673308499750855e-11,1.1883246580837609e-11
4.1e-11,1.674368724935454e-11,1.1888592674365625e-11
4.1e-11,1.6754289501200528e-11,1.1893936805073892e-11
4.1e-11,1.6764891753046516e-11,1.1899278974043188e-11
4.1e-11,1.6775494004892504e-11,1.1904619182353494e-11
4.1e-11,1.6786096256738496e-11,1.1909957431084007e-11
4.1e-11,1.679669850858449e-11,1.1915293721313118e-11
4.1e-11,1.6807300760430478e-11,1.1920628054118435e-11
4.1e-11,1.6817903012276466e-11,1.192596043057678e-11
4.1e-11,1.6828505264122454e-11,1.1931290851764174e-11
4.1e-11,1.683910751596845e-11,1.1936619318755863e-11
4.2e-11,1.684970976781443e-11,1.2025340703298565e-11
4.2e-11,1.6860312019660425e-11,1.2030739908228967e-11
4.2e-11,1.6870914271506417e-11,1.2036137168439088e-11
4.2e-11,1.6881516523352405e-11,1.2041532484979428e-11
4.2e-11,1.6892118775198393e-11,1.204692585889974e-11
4.2e-11,1.6902721027044384e-11,1.2052317291249017e-11
4.2e-11,1.6913323278890372e-11,1.205770678307549e-11
4.2e-11,1.6923925530736363e-11,1.2063094335426646e-11
