Copper Inductance (H),Graphene Inductance (H),Final Inductance (H)
1.4040874396410084e-06,2.549651247532e-07,2.1578178829022797e-07
1.4034990037964616e-06,2.329349887877e-07,1.997783144290577e-07
1.4029110868142946e-06,2.150287102628e-07,1.8645079511366177e-07
1.4023236879421528e-06,2.002721031316e-07,1.7524463487281907e-07
1.40173680642935e-06,1.88e-07,1.6576738900611803e-07
1.4011504415268635e-06,1.777379640391e-07,1.5772972042327556e-07
1.4005645924873322e-06,1.691356886412e-07,1.509112661090424e-07
1.3999792585650443e-06,1.619271471065e-07,1.451397129332106e-07
1.3993944390159407e-06,1.559055526758e-07,1.4027735137380695e-07
1.3988101330976007e-06,1.509069783784e-07,1.3621209248299343e-07
1.3982263400692435e-06,2.329349887877e-07,1.9967113680590466e-07
1.39764305919172e-06,2.150287102628e-07,1.8635744118432982e-07
1.397060289727508e-06,2.002721031316e-07,1.751621664195784e-07
1.3964780309407053e-06,1.88e-07,1.65693600472948e-07
1.3958962820970292e-06,1.777379640391e-07,1.5766291550839358e-07
1.3953150424638051e-06,1.691356886412e-07,1.5085011364458293e-07
1.3947343113099666e-06,1.619271471065e-07,1.4508315008435807e-07
1.3941540879060467e-06,1.559055526758e-07,1.402245164635271e-07
1.3935743715241755e-06,1.509069783784e-07,1.361622771071704e-07
1.3929951614380735e-06,1.467992741509e-07,1.3280388204325921e-07
1.3924164569230455e-06,2.150287102628e-07,1.8626421665445447e-07
1.391838257255978e-06,2.002721031316e-07,1.7507980723887665e-07
1.3912605617153334e-06,1.88e-07,1.6561990588708765e-07
1.3906833695811432e-06,1.777379640391e-07,1.5759619270279315e-07
1.390106680135006e-06,1.691356886412e-07,1.5078903404472086e-07
1.38953049266008e-06,1.619271471065e-07,1.4502665282423588e-07
1.3889548064410788e-06,1.559055526758e-07,1.401717413887776e-07
1.3883796207642671e-06,1.509069783784e-07,1.361125170116976e-07
1.3878049349174559e-06,1.467992741509e-07,1.3275654784799618e-07
1.3872307481899952e-06,1.434743497876e-07,1.300263714185648e-07
1.3866570598727734e-06,2.002721031316e-07,1.7499755639832295e-07
1.3860838692582082e-06,1.88e-07,1.6554630443125246e-07
1.3855111756402452e-06,1.777379640391e-07,1.5752955127947788e-07
1.3849389783143507e-06,1.691356886412e-07,1.5072802665403552e-07
1.3843672765775076e-06,1.619271471065e-07,1.44970220554582e-07
1.3837960697282108e-06,1.559055526758e-07,1.4011902559713416e-07
1.3832253570664638e-06,1.509069783784e-07,1.360628116809454e-07
1.382655137893771e-06,1.467992741509e-07,1.3270926484985672e-07
1.3820854115131355e-06,1.434743497876e-07,1.299810147055162e-07
1.381516177229054e-06,1.408426670196e-07,1.278124560886259e-07
1.380947434347511e-06,1.88e-07,1.6547279531089022e-07
1.3803791821759751e-06,1.777379640391e-07,1.5746299053181035e-07
1.379811420023395e-06,1.691356886412e-07,1.5066709083556154e-07
1.3792441472001927e-06,1.619271471065e-07,1.449138526940541e-07
1.3786773630182607e-06,1.559055526758e-07,1.4006636855184974e-07
1.3781110667909584e-06,1.509069783784e-07,1.3601316061395594e-07
1.3775452578331047e-06,1.467992741509e-07,1.3266203257652788e-07
1.3769799354609764e-06,1.434743497876e-07,1.2993570594497422e-07
1.3764150989923008e-06,1.408426670196e-07,1.277686480245716e-07
1.3758507477462544e-06,1.388292227655e-07,1.2610471761002416e-07
1.3752868810434546e-06,1.777379640391e-07,1.5739650977274205e-07
1.3747234982059593e-06,1.691356886412e-07,1.506062259700911e-07
1.3741605985572608e-06,1.619271471065e-07,1.4485754867758995e-07
1.373598181422279e-06,1.559055526758e-07,1.4001376973126227e-07
1.3730362461273622e-06,1.509069783784e-07,1.3596356332388935e-07
1.3724747920002779e-06,1.467992741509e-07,1.3261485056903473e-07
1.37191381837021e-06,1.434743497876e-07,1.2989044470010106e-07
1.3713533245677562e-06,1.408426670196e-07,1.2772488535402943e-07
1.370793309924921e-06,1.388292227655e-07,1.260620888122701e-07
1.3702337737751135e-06,1.37370563888e-07,1.248535716298337e-07
1.3696747154531424e-06,1.691356886412e-07,1.5054543145550767e-07
1.3691161342952107e-06,1.619271471065e-07,1.4480130795579706e-07
1.3685580296389132e-06,1.559055526758e-07,1.3996122862822904e-07
1.3680004008232312e-06,1.509069783784e-07,1.359140193374947e-07
1.3674432471885282e-06,1.467992741509e-07,1.3256771838124102e-07
1.3668865680765478e-06,1.434743497876e-07,1.298452305462968e-07
1.3663303628304052e-06,1.408426670196e-07,1.2768116766927783e-07
1.3657746307945872e-06,1.388292227655e-07,1.2601950341773342e-07
1.3652193713149471e-06,1.37370563888e-07,1.2481180026207544e-07
1.364664583738698e-06,1.364125310541e-07,1.2401584706951043e-07
1.3641102674144128e-06,1.619271471065e-07,1.4474512999436925e-07
1.3635564216920172e-06,1.559055526758e-07,1.3990874474958682e-07
1.363003045922786e-06,1.509069783784e-07,1.3586452819460472e-07
1.3624501394593404e-06,1.467992741509e-07,1.3252063557937207e-07
1.3618977016556413e-06,1.434743497876e-07,1.2980006307074533e-07
1.3613457318669892e-06,1.408426670196e-07,1.2763749457392227e-07
1.3607942294500177e-06,1.388292227655e-07,1.259769610425999e-07
1.3602431937626875e-06,1.37370563888e-07,1.2477007078588695e-07
1.3596926241642888e-06,1.364125310541e-07,1.2397464955647928e-07
1.3591425200154297e-06,1.359085279271e-07,1.23553680252346e-07
1.3585928806780372e-06,1.559055526758e-07,1.3985631761563547e-07
1.358043705515353e-06,1.509069783784e-07,1.3581508944765324e-07
1.3574949938919268e-06,1.467992741509e-07,1.324736017415589e-07
1.3569467451736154e-06,1.434743497876e-07,1.297549418719797e-07
1.3563989587275777e-06,1.408426670196e-07,1.2759386568247801e-07
1.3558516339222692e-06,1.388292227655e-07,1.259344613136251e-07
1.355304770127442e-06,1.37370563888e-07,1.247283828370523e-07
1.3547583667141378e-06,1.364125310541e-07,1.2393349283223286e-07
1.3542124230546827e-06,1.359085279271e-07,1.2351280397520105e-07
1.3536669385226898e-06,1.35818175413e-07,1.2343364293266204e-07
