Copper Resistance (Ohms),Graphene Resistance (Ohms),Final Resistance (Ohms)
1117100.0,2365497.0150893284,462233.7838096212
1024000.0,2364209.2864545817,445337.95182642806
945210.0,2362925.027765037,429630.99429842917
877700.0,2361644.22656416,414999.2559441296
819190.0,2360366.870451264,401331.31433576974
767990.0,2359092.947081211,388534.27736010915
722810.0,2357822.4441641164,376527.3063953016
682660.0,2356555.349465049,365243.0840545297
646730.0,2355291.6508037383,354613.9625667554
614390.0,2354031.336054278,344585.16443674476
585130.0,2352774.3931448413,335108.0309634297
558540.0,2351520.8100573863,326141.67102608376
534250.0,2350270.574827372,317638.6337570117
511990.0,2349023.6755434726,309569.7785076213
491510.0,2347780.1003472866,301900.51744280214
472610.0,2346539.8374330685,294603.94181817974
455100.0,2345302.8750474364,287647.9575897605
438850.0,2344069.201489099,281016.6019604086
423720.0,2342838.8051085775,274684.0029657348
409590.0,2341611.674307931,268626.9461277397
396380.0,2340387.7975404826,262834.85168626334
383990.0,2339167.163310548,257284.87797020943
372360.0,2337949.7601731643,251968.58873205405
361410.0,2336735.576733826,246865.85873035266
351080.0,2335524.6016482115,241963.09674264412
341330.0,2334316.823621924,237254.1888675778
332100.0,2333112.231410225,232721.7293014947
323360.0,2331910.813817772,228361.22911083561
315070.0,2330712.5596983605,224162.07733914768
307190.0,2329517.457954666,220112.33999816698
299700.0,2328325.497537985,216209.22067587444
292570.0,2327136.6674479777,212443.97796335653
285760.0,2325950.9567324175,208801.60894078892
279270.0,2324768.35448694,205287.58044411917
273060.0,2323588.849854787,201885.40794868337
267130.0,2322412.4320265613,198599.63825073952
261440.0,2321239.090239979,195412.397612903
256000.0,2320068.8137796195,192333.02498872648
250770.0,2318901.591976684,189342.52323713157
245760.0,2317737.414208756,186449.7217812001
240940.0,2316576.2698995494,183640.38016274993
236300.0,2315418.1485186783,180911.29359619506
231850.0,2314263.039581411,178270.83565349045
227550.0,2313110.9326484394,175697.72907707546
223410.0,2311961.8173256344,173199.9218185502
219420.0,2310815.683263821,170773.40940813394
