Width (nm), Thickness (nm), Capacitance (F)
50, 10, 0.000000000038
50, 10, 0.000000000038
50, 11, 0.000000000038
50, 12, 0.000000000038
50, 13, 0.000000000038
50, 14, 0.000000000038
50, 15, 0.000000000038
50, 16, 0.000000000039
50, 17, 0.000000000039
50, 18, 0.000000000039
50, 19, 0.000000000039
50, 20, 0.000000000039
50, 20, 0.000000000039
50, 21, 0.000000000039
50, 22, 0.000000000039
50, 23, 0.000000000039
50, 24, 0.000000000039
50, 25, 0.000000000039
50, 26, 0.000000000039
50, 27, 0.000000000039
50, 28, 0.000000000039
50, 29, 0.000000000039
50, 30, 0.000000000039
50, 30, 0.000000000039
50, 31, 0.000000000039
50, 32, 0.000000000039
50, 33, 0.000000000039
50, 34, 0.000000000039
50, 35, 0.000000000039
50, 36, 0.000000000039
50, 37, 0.000000000039
50, 38, 0.000000000039
50, 39, 0.000000000039
50, 40, 0.000000000039
50, 40, 0.000000000039
50, 41, 0.000000000039
50, 42, 0.000000000039
50, 43, 0.000000000039
50, 44, 0.000000000039
50, 45, 0.000000000039
50, 46, 0.000000000039
50, 47, 0.000000000039
50, 48, 0.000000000039
50, 49, 0.000000000039
50, 50, 0.000000000039
50, 50, 0.000000000039
50, 51, 0.000000000039
50, 52, 0.000000000039
50, 53, 0.000000000039
50, 54, 0.000000000039
50, 55, 0.000000000039
50, 56, 0.000000000039
50, 57, 0.000000000039
50, 58, 0.000000000039
50, 59, 0.000000000039
50, 60, 0.000000000039
50, 60, 0.000000000040
50, 61, 0.000000000040
50, 62, 0.000000000040
50, 63, 0.000000000040
50, 64, 0.000000000040
50, 65, 0.000000000040
50, 66, 0.000000000040
50, 67, 0.000000000040
50, 68, 0.000000000040
50, 69, 0.000000000040
50, 70, 0.000000000040
50, 70, 0.000000000040
50, 71, 0.000000000040
50, 72, 0.000000000040
50, 73, 0.000000000040
50, 74, 0.000000000040
50, 75, 0.000000000040
50, 76, 0.000000000040
50, 77, 0.000000000040
50, 78, 0.000000000040
50, 79, 0.000000000040
50, 80, 0.000000000040
50, 80, 0.000000000040
50, 81, 0.000000000040
50, 82, 0.000000000040
50, 83, 0.000000000040
50, 84, 0.000000000040
50, 85, 0.000000000040
50, 86, 0.000000000040
50, 87, 0.000000000040
50, 88, 0.000000000040
50, 89, 0.000000000040
50, 90, 0.000000000040
50, 90, 0.000000000040
50, 91, 0.000000000040
50, 92, 0.000000000040
50, 93, 0.000000000040
50, 94, 0.000000000040
50, 95, 0.000000000040
50, 96, 0.000000000040
50, 97, 0.000000000040
50, 98, 0.000000000040
50, 99, 0.000000000040
50, 100, 0.000000000040
50, 10, 0.000000000039
50, 10, 0.000000000039
50, 11, 0.000000000039
50, 12, 0.000000000039
50, 13, 0.000000000039
50, 14, 0.000000000039
50, 15, 0.000000000039
50, 16, 0.000000000039
50, 17, 0.000000000039
50, 18, 0.000000000039
50, 19, 0.000000000039
50, 20, 0.000000000039
50, 20, 0.000000000039
50, 21, 0.000000000039
50, 22, 0.000000000039
50, 23, 0.000000000039
50, 24, 0.000000000039
50, 25, 0.000000000039
50, 26, 0.000000000039
50, 27, 0.000000000039
50, 28, 0.000000000039
50, 29, 0.000000000039
50, 30, 0.000000000039
50, 30, 0.000000000040
50, 31, 0.000000000040
50, 32, 0.000000000040
50, 33, 0.000000000040
50, 34, 0.000000000040
50, 35, 0.000000000040
50, 36, 0.000000000040
50, 37, 0.000000000040
50, 38, 0.000000000040
50, 39, 0.000000000040
50, 40, 0.000000000040
50, 40, 0.000000000040
50, 41, 0.000000000040
50, 42, 0.000000000040
50, 43, 0.000000000040
50, 44, 0.000000000040
50, 45, 0.000000000040
50, 46, 0.000000000040
50, 47, 0.000000000040
50, 48, 0.000000000040
50, 49, 0.000000000040
50, 50, 0.000000000040
50, 50, 0.000000000040
50, 51, 0.000000000040
50, 52, 0.000000000040
50, 53, 0.000000000040
50, 54, 0.000000000040
50, 55, 0.000000000040
50, 56, 0.000000000040
50, 57, 0.000000000040
50, 58, 0.000000000040
50, 59, 0.000000000040
50, 60, 0.000000000040
50, 60, 0.000000000040
50, 61, 0.000000000040
50, 62, 0.000000000040
50, 63, 0.000000000040
50, 64, 0.000000000040
50, 65, 0.000000000040
50, 66, 0.000000000040
50, 67, 0.000000000040
50, 68, 0.000000000040
