Length (nm), Thickness (nm), Width (nm), Inductance (H)
50.000000, 10.000000, 50.000000, 2.549651247532e-07
50.000000, 10.000000, 60.000000, 2.329349887877e-07
50.000000, 10.000000, 70.000000, 2.150287102628e-07
50.000000, 10.000000, 80.000000, 2.002721031316e-07
50.000000, 10.000000, 90.000000, 1.880000000000e-07
50.000000, 10.000000, 100.000000, 1.777379640391e-07
50.000000, 10.000000, 110.000000, 1.691356886412e-07
50.000000, 10.000000, 120.000000, 1.619271471065e-07
50.000000, 10.000000, 130.000000, 1.559055526758e-07
50.000000, 10.000000, 140.000000, 1.509069783784e-07
50.000000, 20.000000, 50.000000, 2.329349887877e-07
50.000000, 20.000000, 60.000000, 2.150287102628e-07
50.000000, 20.000000, 70.000000, 2.002721031316e-07
50.000000, 20.000000, 80.000000, 1.880000000000e-07
50.000000, 20.000000, 90.000000, 1.777379640391e-07
50.000000, 20.000000, 100.000000, 1.691356886412e-07
50.000000, 20.000000, 110.000000, 1.619271471065e-07
50.000000, 20.000000, 120.000000, 1.559055526758e-07
50.000000, 20.000000, 130.000000, 1.509069783784e-07
50.000000, 20.000000, 140.000000, 1.467992741509e-07
50.000000, 30.000000, 50.000000, 2.150287102628e-07
50.000000, 30.000000, 60.000000, 2.002721031316e-07
50.000000, 30.000000, 70.000000, 1.880000000000e-07
50.000000, 30.000000, 80.000000, 1.777379640391e-07
50.000000, 30.000000, 90.000000, 1.691356886412e-07
50.000000, 30.000000, 100.000000, 1.619271471065e-07
50.000000, 30.000000, 110.000000, 1.559055526758e-07
50.000000, 30.000000, 120.000000, 1.509069783784e-07
50.000000, 30.000000, 130.000000, 1.467992741509e-07
50.000000, 30.000000, 140.000000, 1.434743497876e-07
50.000000, 40.000000, 50.000000, 2.002721031316e-07
50.000000, 40.000000, 60.000000, 1.880000000000e-07
50.000000, 40.000000, 70.000000, 1.777379640391e-07
50.000000, 40.000000, 80.000000, 1.691356886412e-07
50.000000, 40.000000, 90.000000, 1.619271471065e-07
50.000000, 40.000000, 100.000000, 1.559055526758e-07
50.000000, 40.000000, 110.000000, 1.509069783784e-07
50.000000, 40.000000, 120.000000, 1.467992741509e-07
50.000000, 40.000000, 130.000000, 1.434743497876e-07
50.000000, 40.000000, 140.000000, 1.408426670196e-07
50.000000, 50.000000, 50.000000, 1.880000000000e-07
50.000000, 50.000000, 60.000000, 1.777379640391e-07
50.000000, 50.000000, 70.000000, 1.691356886412e-07
50.000000, 50.000000, 80.000000, 1.619271471065e-07
50.000000, 50.000000, 90.000000, 1.559055526758e-07
50.000000, 50.000000, 100.000000, 1.509069783784e-07
50.000000, 50.000000, 110.000000, 1.467992741509e-07
50.000000, 50.000000, 120.000000, 1.434743497876e-07
50.000000, 50.000000, 130.000000, 1.408426670196e-07
