Width (nm), Thickness (nm), Resistance (Ohms)
50.000000, 10.000000, 1.1171e+06
50.000000, 10.909091, 1.0240e+06
50.000000, 11.818182, 9.4521e+05
50.000000, 12.727273, 8.7770e+05
50.000000, 13.636364, 8.1919e+05
50.000000, 14.545455, 7.6799e+05
50.000000, 15.454545, 7.2281e+05
50.000000, 16.363636, 6.8266e+05
50.000000, 17.272727, 6.4673e+05
50.000000, 18.181818, 6.1439e+05
50.000000, 19.090909, 5.8513e+05
50.000000, 20.000000, 5.5854e+05
50.000000, 20.909091, 5.3425e+05
50.000000, 21.818182, 5.1199e+05
50.000000, 22.727273, 4.9151e+05
50.000000, 23.636364, 4.7261e+05
50.000000, 24.545455, 4.5510e+05
50.000000, 25.454545, 4.3885e+05
50.000000, 26.363636, 4.2372e+05
50.000000, 27.272727, 4.0959e+05
50.000000, 28.181818, 3.9638e+05
50.000000, 29.090909, 3.8399e+05
50.000000, 30.000000, 3.7236e+05
50.000000, 30.909091, 3.6141e+05
50.000000, 31.818182, 3.5108e+05
50.000000, 32.727273, 3.4133e+05
50.000000, 33.636364, 3.3210e+05
50.000000, 34.545455, 3.2336e+05
50.000000, 35.454545, 3.1507e+05
50.000000, 36.363636, 3.0719e+05
50.000000, 37.272727, 2.9970e+05
50.000000, 38.181818, 2.9257e+05
50.000000, 39.090909, 2.8576e+05
50.000000, 40.000000, 2.7927e+05
50.000000, 40.909091, 2.7306e+05
50.000000, 41.818182, 2.6713e+05
50.000000, 42.727273, 2.6144e+05
50.000000, 43.636364, 2.5600e+05
50.000000, 44.545455, 2.5077e+05
50.000000, 45.454545, 2.4576e+05
50.000000, 46.363636, 2.4094e+05
50.000000, 47.272727, 2.3630e+05
50.000000, 48.181818, 2.3185e+05
50.000000, 49.090909, 2.2755e+05
50.000000, 50.000000, 2.2341e+05
50.000000, 50.909091, 2.1942e+05
50.000000, 51.818182, 2.1558e+05
50.000000, 52.727273, 2.1186e+05
50.000000, 53.636364, 2.0827e+05
50.000000, 54.545455, 2.0480e+05
50.000000, 55.454545, 2.0144e+05
50.000000, 56.363636, 1.9819e+05
50.000000, 57.272727, 1.9504e+05
50.000000, 58.181818, 1.9200e+05
50.000000, 59.090909, 1.8904e+05
50.000000, 60.000000, 1.8618e+05
50.000000, 60.909091, 1.8340e+05
50.000000, 61.818182, 1.8070e+05
50.000000, 62.727273, 1.7808e+05
50.000000, 63.636364, 1.7554e+05
50.000000, 64.545455, 1.7307e+05
50.000000, 65.454545, 1.7066e+05
50.000000, 66.363636, 1.6833e+05
50.000000, 67.272727, 1.6605e+05
50.000000, 68.181818, 1.6384e+05
50.000000, 69.090909, 1.6168e+05
50.000000, 70.000000, 1.5958e+05
50.000000, 70.909091, 1.5754e+05
50.000000, 71.818182, 1.5554e+05
50.000000, 72.727273, 1.5360e+05
50.000000, 73.636364, 1.5170e+05
50.000000, 74.545455, 1.4985e+05
50.000000, 75.454545, 1.4805e+05
50.000000, 76.363636, 1.4628e+05
50.000000, 77.272727, 1.4456e+05
50.000000, 78.181818, 1.4288e+05
50.000000, 79.090909, 1.4124e+05
50.000000, 80.000000, 1.3963e+05
50.000000, 80.909091, 1.3807e+05
50.000000, 81.818182, 1.3653e+05
50.000000, 82.727273, 1.3503e+05
50.000000, 83.636364, 1.3356e+05
50.000000, 84.545455, 1.3213e+05
50.000000, 85.454545, 1.3072e+05
50.000000, 86.363636, 1.2935e+05
50.000000, 87.272727, 1.2800e+05
50.000000, 88.181818, 1.2668e+05
50.000000, 89.090909, 1.2539e+05
50.000000, 90.000000, 1.2412e+05
50.000000, 90.909091, 1.2288e+05
50.000000, 91.818182, 1.2166e+05
50.000000, 92.727273, 1.2047e+05
50.000000, 93.636364, 1.1930e+05
50.000000, 94.545455, 1.1815e+05
50.000000, 95.454545, 1.1703e+05
50.000000, 96.363636, 1.1592e+05
50.000000, 97.272727, 1.1484e+05
50.000000, 98.181818, 1.1378e+05
50.000000, 99.090909, 1.1273e+05
50.000000, 100.000000, 1.1171e+05
50.909091, 10.000000, 1.0971e+06
50.909091, 10.909091, 1.0057e+06
50.909091, 11.818182, 9.2834e+05
50.909091, 12.727273, 8.6203e+05
50.909091, 13.636364, 8.0456e+05
50.909091, 14.545455, 7.5427e+05
50.909091, 15.454545, 7.0990e+05
50.909091, 16.363636, 6.7046e+05
50.909091, 17.272727, 6.3518e+05
50.909091, 18.181818, 6.0342e+05
50.909091, 19.090909, 5.7468e+05
50.909091, 20.000000, 5.4856e+05
50.909091, 20.909091, 5.2471e+05
50.909091, 21.818182, 5.0285e+05
50.909091, 22.727273, 4.8273e+05
50.909091, 23.636364, 4.6417e+05
50.909091, 24.545455, 4.4698e+05
50.909091, 25.454545, 4.3101e+05
50.909091, 26.363636, 4.1615e+05
50.909091, 27.272727, 4.0228e+05
50.909091, 28.181818, 3.8930e+05
50.909091, 29.090909, 3.7714e+05
50.909091, 30.000000, 3.6571e+05
50.909091, 30.909091, 3.5495e+05
50.909091, 31.818182, 3.4481e+05
50.909091, 32.727273, 3.3523e+05
50.909091, 33.636364, 3.2617e+05
50.909091, 34.545455, 3.1759e+05
50.909091, 35.454545, 3.0945e+05
50.909091, 36.363636, 3.0171e+05
50.909091, 37.272727, 2.9435e+05
50.909091, 38.181818, 2.8734e+05
50.909091, 39.090909, 2.8066e+05
50.909091, 40.000000, 2.7428e+05
50.909091, 40.909091, 2.6819e+05
50.909091, 41.818182, 2.6236e+05
50.909091, 42.727273, 2.5677e+05
50.909091, 43.636364, 2.5142e+05
50.909091, 44.545455, 2.4629e+05
50.909091, 45.454545, 2.4137e+05
50.909091, 46.363636, 2.3663e+05
50.909091, 47.272727, 2.3208e+05
50.909091, 48.181818, 2.2771e+05
50.909091, 49.090909, 2.2349e+05
50.909091, 50.000000, 2.1942e+05
50.909091, 50.909091, 2.1551e+05
