Ncht,Nchb,Nchl,Nchr,Cg
3.000000000000000000e+02,3.000000000000000000e+02,1.200000000000000000e+01,1.200000000000000000e+01,1.203628742973509477e-11
3.002700270027002603e+02,3.002700270027002603e+02,1.200480048004800437e+01,1.200480048004800437e+01,1.204688968158108287e-11
3.005400540054005205e+02,3.005400540054005205e+02,1.200960096009601052e+01,1.200960096009601052e+01,1.205749193342707097e-11
3.008100810081007808e+02,3.008100810081007808e+02,1.201440144014401668e+01,1.201440144014401668e+01,1.206809418527306230e-11
3.010801080108010979e+02,3.010801080108010979e+02,1.201920192019201750e+01,1.201920192019201750e+01,1.207869643711905201e-11
3.013501350135013581e+02,3.013501350135013581e+02,1.202400240024002365e+01,1.202400240024002365e+01,1.208929868896504334e-11
3.016201620162016184e+02,3.016201620162016184e+02,1.202880288028802802e+01,1.202880288028802802e+01,1.209990094081103143e-11
3.018901890189018786e+02,3.018901890189018786e+02,1.203360336033603417e+01,1.203360336033603417e+01,1.211050319265701953e-11
3.021602160216021389e+02,3.021602160216021389e+02,1.203840384038404032e+01,1.203840384038404032e+01,1.212110544450301086e-11
3.024302430243024560e+02,3.024302430243024560e+02,1.204320432043204292e+01,1.204320432043204292e+01,1.213170769634900219e-11
3.027002700270027162e+02,3.027002700270027162e+02,1.204800480048004907e+01,1.204800480048004907e+01,1.214230994819499190e-11
3.029702970297029196e+02,3.029702970297029196e+02,1.205280528052805344e+01,1.205280528052805344e+01,1.215291220004097838e-11
3.032403240324032367e+02,3.032403240324032367e+02,1.205760576057605782e+01,1.205760576057605782e+01,1.216351445188697132e-11
3.035103510351034970e+02,3.035103510351034970e+02,1.206240624062406397e+01,1.206240624062406397e+01,1.217411670373295780e-11
3.037803780378037573e+02,3.037803780378037573e+02,1.206720672067206657e+01,1.206720672067206657e+01,1.218471895557894752e-11
3.040504050405040175e+02,3.040504050405040175e+02,1.207200720072007094e+01,1.207200720072007094e+01,1.219532120742493884e-11
3.043204320432042778e+02,3.043204320432042778e+02,1.207680768076807709e+01,1.207680768076807709e+01,1.220592345927092694e-11
3.045904590459045949e+02,3.045904590459045949e+02,1.208160816081608147e+01,1.208160816081608147e+01,1.221652571111691827e-11
3.048604860486048551e+02,3.048604860486048551e+02,1.208640864086408762e+01,1.208640864086408762e+01,1.222712796296290798e-11
3.051305130513051154e+02,3.051305130513051154e+02,1.209120912091209021e+01,1.209120912091209021e+01,1.223773021480889931e-11
3.054005400540053756e+02,3.054005400540053756e+02,1.209600960096009459e+01,1.209600960096009459e+01,1.224833246665489064e-11
3.056705670567056359e+02,3.056705670567056359e+02,1.210081008100810074e+01,1.210081008100810074e+01,1.225893471850087550e-11
3.059405940594059530e+02,3.059405940594059530e+02,1.210561056105610511e+01,1.210561056105610511e+01,1.226953697034686683e-11
3.062106210621062132e+02,3.062106210621062132e+02,1.211041104110411126e+01,1.211041104110411126e+01,1.228013922219285977e-11
3.064806480648064735e+02,3.064806480648064735e+02,1.211521152115211741e+01,1.211521152115211741e+01,1.229074147403884787e-11
3.067506750675067337e+02,3.067506750675067337e+02,1.212001200120012001e+01,1.212001200120012001e+01,1.230134372588483435e-11
3.070207020702069940e+02,3.070207020702069940e+02,1.212481248124812616e+01,1.212481248124812616e+01,1.231194597773082406e-11
3.072907290729072542e+02,3.072907290729072542e+02,1.212961296129612698e+01,1.212961296129612698e+01,1.232254822957681378e-11
3.075607560756075145e+02,3.075607560756075145e+02,1.213441344134413313e+01,1.213441344134413313e+01,1.233315048142280672e-11
3.078307830783077748e+02,3.078307830783077748e+02,1.213921392139213928e+01,1.213921392139213928e+01,1.234375273326879482e-11
3.081008100810080919e+02,3.081008100810080919e+02,1.214401440144014366e+01,1.214401440144014366e+01,1.235435498511478614e-11
3.083708370837083521e+02,3.083708370837083521e+02,1.214881488148814803e+01,1.214881488148814803e+01,1.236495723696077586e-11
3.086408640864086124e+02,3.086408640864086124e+02,1.215361536153615418e+01,1.215361536153615418e+01,1.237555948880676395e-11
3.089108910891088726e+02,3.089108910891088726e+02,1.215841584158415678e+01,1.215841584158415678e+01,1.238616174065275205e-11
3.091809180918091329e+02,3.091809180918091329e+02,1.216321632163216115e+01,1.216321632163216115e+01,1.239676399249874338e-11
3.094509450945094500e+02,3.094509450945094500e+02,1.216801680168016730e+01,1.216801680168016730e+01,1.240736624434473147e-11
3.097209720972097102e+02,3.097209720972097102e+02,1.217281728172817168e+01,1.217281728172817168e+01,1.241796849619071957e-11
3.099909990999099705e+02,3.099909990999099705e+02,1.217761776177617783e+01,1.217761776177617783e+01,1.242857074803671413e-11
3.102610261026102307e+02,3.102610261026102307e+02,1.218241824182418043e+01,1.218241824182418043e+01,1.243917299988270223e-11
3.105310531053104910e+02,3.105310531053104910e+02,1.218721872187218658e+01,1.218721872187218658e+01,1.244977525172869194e-11
3.108010801080108081e+02,3.108010801080108081e+02,1.219201920192019273e+01,1.219201920192019273e+01,1.246037750357468327e-11
3.110711071107110683e+02,3.110711071107110683e+02,1.219681968196819710e+01,1.219681968196819710e+01,1.247097975542066975e-11
3.113411341134113286e+02,3.113411341134113286e+02,1.220162016201619792e+01,1.220162016201619792e+01,1.248158200726666431e-11
3.116111611161115889e+02,3.116111611161115889e+02,1.220642064206420407e+01,1.220642064206420407e+01,1.249218425911265079e-11
3.118811881188118491e+02,3.118811881188118491e+02,1.221122112211221022e+01,1.221122112211221022e+01,1.250278651095863888e-11
3.121512151215121662e+02,3.121512151215121662e+02,1.221602160216021637e+01,1.221602160216021637e+01,1.251338876280463183e-11
3.124212421242124265e+02,3.124212421242124265e+02,1.222082208220822075e+01,1.222082208220822075e+01,1.252399101465061993e-11
3.126912691269126867e+02,3.126912691269126867e+02,1.222562256225622512e+01,1.222562256225622512e+01,1.253459326649661448e-11
3.129612961296129470e+02,3.129612961296129470e+02,1.223042304230423127e+01,1.223042304230423127e+01,1.254519551834259935e-11
3.132313231323132072e+02,3.132313231323132072e+02,1.223522352235223387e+01,1.223522352235223387e+01,1.255579777018858745e-11
3.135013501350135243e+02,3.135013501350135243e+02,1.224002400240023825e+01,1.224002400240023825e+01,1.256640002203458201e-11
3.137713771377137846e+02,3.137713771377137846e+02,1.224482448244824440e+01,1.224482448244824440e+01,1.257700227388057010e-11
3.140414041404140448e+02,3.140414041404140448e+02,1.224962496249624877e+01,1.224962496249624877e+01,1.258760452572655820e-11
3.143114311431143051e+02,3.143114311431143051e+02,1.225442544254425492e+01,1.225442544254425492e+01,1.259820677757255114e-11
3.145814581458145653e+02,3.145814581458145653e+02,1.225922592259226107e+01,1.225922592259226107e+01,1.260880902941853601e-11
3.148514851485148824e+02,3.148514851485148824e+02,1.226402640264026367e+01,1.226402640264026367e+01,1.261941128126453218e-11
3.151215121512151427e+02,3.151215121512151427e+02,1.226882688268826982e+01,1.226882688268826982e+01,1.263001353311052189e-11
3.153915391539154029e+02,3.153915391539154029e+02,1.227362736273627242e+01,1.227362736273627242e+01,1.264061578495650676e-11
3.156615661566156632e+02,3.156615661566156632e+02,1.227842784278427857e+01,1.227842784278427857e+01,1.265121803680249970e-11
3.159315931593159235e+02,3.159315931593159235e+02,1.228322832283228472e+01,1.228322832283228472e+01,1.266182028864848619e-11
3.162016201620162406e+02,3.162016201620162406e+02,1.228802880288028732e+01,1.228802880288028732e+01,1.267242254049447590e-11
3.164716471647165008e+02,3.164716471647165008e+02,1.229282928292829347e+01,1.229282928292829347e+01,1.268302479234047046e-11
3.167416741674167611e+02,3.167416741674167611e+02,1.229762976297629784e+01,1.229762976297629784e+01,1.269362704418645532e-11
3.170117011701170213e+02,3.170117011701170213e+02,1.230243024302430221e+01,1.230243024302430221e+01,1.270422929603244988e-11
3.172817281728172247e+02,3.172817281728172247e+02,1.230723072307230836e+01,1.230723072307230836e+01,1.271483154787843475e-11
3.175517551755174850e+02,3.175517551755174850e+02,1.231203120312031096e+01,1.231203120312031096e+01,1.272543379972442284e-11
3.178217821782178021e+02,3.178217821782178021e+02,1.231683168316831534e+01,1.231683168316831534e+01,1.273603605157041579e-11
