Ncht,Nchb,Nchl,Nchr,Lg
3.000000000000000000e+02,3.000000000000000000e+02,1.200000000000000000e+01,1.200000000000000000e+01,1.404087439641008590e-06
3.002700270027002603e+02,3.002700270027002603e+02,1.200480048004800437e+01,1.200480048004800437e+01,1.403499003796461557e-06
3.005400540054005205e+02,3.005400540054005205e+02,1.200960096009601052e+01,1.200960096009601052e+01,1.402911086814294623e-06
3.008100810081007808e+02,3.008100810081007808e+02,1.201440144014401668e+01,1.201440144014401668e+01,1.402323687942152796e-06
3.010801080108010979e+02,3.010801080108010979e+02,1.201920192019201750e+01,1.201920192019201750e+01,1.401736806429350160e-06
3.013501350135013581e+02,3.013501350135013581e+02,1.202400240024002365e+01,1.202400240024002365e+01,1.401150441526863528e-06
3.016201620162016184e+02,3.016201620162016184e+02,1.202880288028802802e+01,1.202880288028802802e+01,1.400564592487332224e-06
3.018901890189018786e+02,3.018901890189018786e+02,1.203360336033603417e+01,1.203360336033603417e+01,1.399979258565044537e-06
3.021602160216021389e+02,3.021602160216021389e+02,1.203840384038404032e+01,1.203840384038404032e+01,1.399394439015940679e-06
3.024302430243024560e+02,3.024302430243024560e+02,1.204320432043204292e+01,1.204320432043204292e+01,1.398810133097600929e-06
3.027002700270027162e+02,3.027002700270027162e+02,1.204800480048004907e+01,1.204800480048004907e+01,1.398226340069243520e-06
3.029702970297029196e+02,3.029702970297029196e+02,1.205280528052805344e+01,1.205280528052805344e+01,1.397643059191719971e-06
3.032403240324032367e+02,3.032403240324032367e+02,1.205760576057605782e+01,1.205760576057605782e+01,1.397060289727507897e-06
3.035103510351034970e+02,3.035103510351034970e+02,1.206240624062406397e+01,1.206240624062406397e+01,1.396478030940705284e-06
3.037803780378037573e+02,3.037803780378037573e+02,1.206720672067206657e+01,1.206720672067206657e+01,1.395896282097029224e-06
3.040504050405040175e+02,3.040504050405040175e+02,1.207200720072007094e+01,1.207200720072007094e+01,1.395315042463805110e-06
3.043204320432042778e+02,3.043204320432042778e+02,1.207680768076807709e+01,1.207680768076807709e+01,1.394734311309966642e-06
3.045904590459045949e+02,3.045904590459045949e+02,1.208160816081608147e+01,1.208160816081608147e+01,1.394154087906046926e-06
3.048604860486048551e+02,3.048604860486048551e+02,1.208640864086408762e+01,1.208640864086408762e+01,1.393574371524175730e-06
3.051305130513051154e+02,3.051305130513051154e+02,1.209120912091209021e+01,1.209120912091209021e+01,1.392995161438073544e-06
3.054005400540053756e+02,3.054005400540053756e+02,1.209600960096009459e+01,1.209600960096009459e+01,1.392416456923045451e-06
3.056705670567056359e+02,3.056705670567056359e+02,1.210081008100810074e+01,1.210081008100810074e+01,1.391838257255978152e-06
3.059405940594059530e+02,3.059405940594059530e+02,1.210561056105610511e+01,1.210561056105610511e+01,1.391260561715333408e-06
3.062106210621062132e+02,3.062106210621062132e+02,1.211041104110411126e+01,1.211041104110411126e+01,1.390683369581143377e-06
3.064806480648064735e+02,3.064806480648064735e+02,1.211521152115211741e+01,1.211521152115211741e+01,1.390106680135005960e-06
3.067506750675067337e+02,3.067506750675067337e+02,1.212001200120012001e+01,1.212001200120012001e+01,1.389530492660080137e-06
3.070207020702069940e+02,3.070207020702069940e+02,1.212481248124812616e+01,1.212481248124812616e+01,1.388954806441078772e-06
3.072907290729072542e+02,3.072907290729072542e+02,1.212961296129612698e+01,1.212961296129612698e+01,1.388379620764267340e-06
3.075607560756075145e+02,3.075607560756075145e+02,1.213441344134413313e+01,1.213441344134413313e+01,1.387804934917455879e-06
3.078307830783077748e+02,3.078307830783077748e+02,1.213921392139213928e+01,1.213921392139213928e+01,1.387230748189995183e-06
3.081008100810080919e+02,3.081008100810080919e+02,1.214401440144014366e+01,1.214401440144014366e+01,1.386657059872773408e-06
3.083708370837083521e+02,3.083708370837083521e+02,1.214881488148814803e+01,1.214881488148814803e+01,1.386083869258208240e-06
3.086408640864086124e+02,3.086408640864086124e+02,1.215361536153615418e+01,1.215361536153615418e+01,1.385511175640245203e-06
3.089108910891088726e+02,3.089108910891088726e+02,1.215841584158415678e+01,1.215841584158415678e+01,1.384938978314350666e-06
3.091809180918091329e+02,3.091809180918091329e+02,1.216321632163216115e+01,1.216321632163216115e+01,1.384367276577507612e-06
3.094509450945094500e+02,3.094509450945094500e+02,1.216801680168016730e+01,1.216801680168016730e+01,1.383796069728210978e-06
3.097209720972097102e+02,3.097209720972097102e+02,1.217281728172817168e+01,1.217281728172817168e+01,1.383225357066463841e-06
3.099909990999099705e+02,3.099909990999099705e+02,1.217761776177617783e+01,1.217761776177617783e+01,1.382655137893771070e-06
3.102610261026102307e+02,3.102610261026102307e+02,1.218241824182418043e+01,1.218241824182418043e+01,1.382085411513135722e-06
3.105310531053104910e+02,3.105310531053104910e+02,1.218721872187218658e+01,1.218721872187218658e+01,1.381516177229054174e-06
3.108010801080108081e+02,3.108010801080108081e+02,1.219201920192019273e+01,1.219201920192019273e+01,1.380947434347511040e-06
3.110711071107110683e+02,3.110711071107110683e+02,1.219681968196819710e+01,1.219681968196819710e+01,1.380379182175975357e-06
3.113411341134113286e+02,3.113411341134113286e+02,1.220162016201619792e+01,1.220162016201619792e+01,1.379811420023395084e-06
3.116111611161115889e+02,3.116111611161115889e+02,1.220642064206420407e+01,1.220642064206420407e+01,1.379244147200192653e-06
3.118811881188118491e+02,3.118811881188118491e+02,1.221122112211221022e+01,1.221122112211221022e+01,1.378677363018260731e-06
3.121512151215121662e+02,3.121512151215121662e+02,1.221602160216021637e+01,1.221602160216021637e+01,1.378111066790958412e-06
3.124212421242124265e+02,3.124212421242124265e+02,1.222082208220822075e+01,1.222082208220822075e+01,1.377545257833104652e-06
