Wgr,Rgrr,Rgrt,Rgrb,Rgrl,Rgr
1.999999999999999909e-07,1.122535856251481473e+08,4.939157767506517470e+06,4.939157767506517470e+06,1.122535856251481473e+08,2.365497015089328401e+06
2.001799999999999833e-07,1.121924770481174439e+08,4.936468990117167123e+06,4.936468990117167123e+06,1.121924770481174439e+08,2.364209286454581656e+06
2.003599999999999756e-07,1.121315331357590705e+08,4.933787457973398268e+06,4.933787457973398268e+06,1.121315331357590705e+08,2.362925027765037492e+06
2.005399999999999680e-07,1.120707532969537973e+08,4.931113145065966062e+06,4.931113145065966062e+06,1.120707532969537973e+08,2.361644226564160082e+06
2.007199999999999603e-07,1.120101369432327002e+08,4.928446025502238423e+06,4.928446025502238423e+06,1.120101369432327002e+08,2.360366870451263618e+06
2.008999999999999527e-07,1.119496834887629300e+08,4.925786073505568318e+06,4.925786073505568318e+06,1.119496834887629300e+08,2.359092947081211023e+06
2.010799999999999450e-07,1.118893923503335565e+08,4.923133263414675370e+06,4.923133263414675370e+06,1.118893923503335565e+08,2.357822444164116401e+06
2.012599999999999374e-07,1.118292629473414421e+08,4.920487569683022797e+06,4.920487569683022797e+06,1.118292629473414421e+08,2.356555349465048872e+06
2.014399999999999297e-07,1.117692947017773986e+08,4.917848966878204606e+06,4.917848966878204606e+06,1.117692947017773986e+08,2.355291650803738274e+06
2.016199999999999221e-07,1.117094870382121354e+08,4.915217429681332782e+06,4.915217429681332782e+06,1.117094870382121354e+08,2.354031336054278072e+06
2.017999999999999144e-07,1.116498393837824911e+08,4.912592932886429131e+06,4.912592932886429131e+06,1.116498393837824911e+08,2.352774393144841306e+06
2.019799999999999068e-07,1.115903511681778282e+08,4.909975451399823651e+06,4.909975451399823651e+06,1.115903511681778282e+08,2.351520810057386290e+06
2.021599999999998991e-07,1.115310218236262500e+08,4.907364960239553824e+06,4.907364960239553824e+06,1.115310218236262500e+08,2.350270574827372096e+06
2.023399999999998915e-07,1.114718507848811597e+08,4.904761434534770437e+06,4.904761434534770437e+06,1.114718507848811597e+08,2.349023675543472636e+06
2.025199999999998838e-07,1.114128374892076105e+08,4.902164849525134079e+06,4.902164849525134079e+06,1.114128374892076105e+08,2.347780100347286556e+06
2.026999999999998762e-07,1.113539813763692677e+08,4.899575180560247041e+06,4.899575180560247041e+06,1.113539813763692677e+08,2.346539837433068547e+06
2.028799999999998685e-07,1.112952818886147290e+08,4.896992403099047020e+06,4.896992403099047020e+06,1.112952818886147290e+08,2.345302875047436450e+06
2.030599999999998609e-07,1.112367384706645310e+08,4.894416492709239013e+06,4.894416492709239013e+06,1.112367384706645310e+08,2.344069201489098836e+06
2.032399999999998532e-07,1.111783505696979761e+08,4.891847425066710450e+06,4.891847425066710450e+06,1.111783505696979761e+08,2.342838805108577944e+06
2.034199999999998455e-07,1.111201176353400201e+08,4.889285175954960287e+06,4.889285175954960287e+06,1.111201176353400201e+08,2.341611674307931215e+06
2.035999999999998379e-07,1.110620391196483821e+08,4.886729721264528111e+06,4.886729721264528111e+06,1.110620391196483821e+08,2.340387797540482599e+06
2.037799999999998302e-07,1.110041144771005511e+08,4.884181036992423236e+06,4.884181036992423236e+06,1.110041144771005511e+08,2.339167163310547359e+06
2.039599999999998226e-07,1.109463431645811051e+08,4.881639099241567776e+06,4.881639099241567776e+06,1.109463431645811051e+08,2.337949760173164308e+06
2.041399999999998149e-07,1.108887246413688660e+08,4.879103884220229462e+06,4.879103884220229462e+06,1.108887246413688660e+08,2.336735576733826660e+06
2.043199999999998073e-07,1.108312583691242337e+08,4.876575368241465650e+06,4.876575368241465650e+06,1.108312583691242337e+08,2.335524601648211479e+06
2.044999999999997996e-07,1.107739438118767738e+08,4.874053527722577564e+06,4.874053527722577564e+06,1.107739438118767738e+08,2.334316823621924035e+06
2.046799999999997920e-07,1.107167804360124767e+08,4.871538339184548706e+06,4.871538339184548706e+06,1.107167804360124767e+08,2.333112231410224922e+06
2.048599999999997843e-07,1.106597677102615237e+08,4.869029779251506552e+06,4.869029779251506552e+06,1.106597677102615237e+08,2.331910813817771617e+06
2.050399999999997767e-07,1.106029051056858599e+08,4.866527824650176801e+06,4.866527824650176801e+06,1.106029051056858599e+08,2.330712559698360506e+06
2.052199999999997690e-07,1.105461920956669152e+08,4.864032452209343202e+06,4.864032452209343202e+06,1.105461920956669152e+08,2.329517457954666112e+06
